                           x                ground state                 1st excited                 2nd excited
  -20.000000000000000        3.0535191092151542E-006   1.2213326779497867E-005   2.7477174223197895E-005
  -19.899749373433583        1.2213326779603902E-005   4.8841314074237431E-005   1.0984799452958838E-004
  -19.799498746867169        2.7477174223445120E-005   1.0984799452965730E-004   2.4693048793279640E-004
  -19.699248120300751        4.8841314074645674E-005   1.9517346179905856E-004   4.3842181283659294E-004
  -19.598997493734338        7.6300501308753147E-005   3.0473392936944583E-004   6.8389892807020549E-004
  -19.498746867167920        1.0984799453058974E-004   4.3842181283686025E-004   9.8281952746771752E-004
  -19.398496240601503        1.4947555762937780E-004   5.9610583555031274E-004   1.3345232379265461E-003
  -19.298245614035089        1.9517346180072107E-004   7.7763115752074263E-004   1.7382330782988618E-003
  -19.197994987468672        2.4693048793503658E-004   9.8281952746828954E-004   2.1930571758922617E-003
  -19.097744360902254        3.0473392937205377E-004   1.2114694578585119E-003   2.6979907367881205E-003
  -18.997493734335841        3.6856959502013198E-004   1.4633564227557953E-003   3.2519182656245388E-003
  -18.897243107769423        4.3842181284058334E-004   1.7382330782999623E-003   3.8536160299405026E-003
  -18.796992481203006        5.1427343369494496E-004   2.0358295055884264E-003   4.5017547636359003E-003
  -18.696741854636592        5.9610583555536577E-004   2.3558534757274420E-003   5.1949026035760723E-003
  -18.596491228070175        6.8389892807640355E-004   2.6979907367896874E-003   5.9315282528532038E-003
  -18.496240601503761        7.7763115752731518E-004   3.0619053223985451E-003   6.7100043637153862E-003
  -18.395989974937343        8.7727951208361576E-004   3.4472398816348098E-003   7.5286111326912063E-003
  -18.295739348370926        9.8281952747657111E-004   3.8536160299426931E-003   8.3855400999658138E-003
  -18.195488721804512        1.0942252929994447E-003   4.2806347206885993E-003   9.2788981446172893E-003
  -18.095238095238095        1.2114694578686306E-003   4.7278766370120800E-003   1.0206711666884218E-002
  -17.994987468671681        1.3345232379384771E-003   5.1949026035784792E-003   1.1166930948227851E-002
  -17.894736842105264        1.4633564227679796E-003   5.6812540178338838E-003   1.2157434679554054E-002
  -17.794486215538846        1.5979373830375455E-003   6.1864533003354863E-003   1.3176034647593284E-002
  -17.694235588972433        1.7382330783142633E-003   6.7100043637182008E-003   1.4220480569084742E-002
  -17.593984962406015        1.8842090651635531E-003   7.2513930998336570E-003   1.5288465062085069E-002
  -17.493734335839598        2.0358295056051362E-003   7.8100878845864348E-003   1.6377628743418655E-002
  -17.393483709273184        2.1930571759115215E-003   8.3855400999688495E-003   1.7485565441008728E-002
  -17.293233082706767        2.3558534757466693E-003   8.9771846727845425E-003   1.8609827509574881E-002
  -17.192982456140349        2.5241784376425040E-003   9.5844406295294698E-003   1.9747931237951277E-002
  -17.092731829573935        2.6979907368115045E-003   1.0206711666887584E-002   2.0897362336084420E-002
  -16.992481203007518        2.8772477012917255E-003   1.0843386737277642E-002   2.2055581489580745E-002
  -16.892230576441104        3.0619053224232398E-003   1.1493840648881135E-002   2.3220029969542689E-002
  -16.791979949874687        3.2519182656524774E-003   1.2157434679557462E-002   2.4388135285292607E-002
  -16.691729323308270        3.4472398816624544E-003   1.2833517204045389E-002   2.5557316867497997E-002
  -16.591478696741856        3.6478222178249094E-003   1.3521424333836308E-002   2.6724991769147985E-002
  -16.491228070175438        3.8536160299732832E-003   1.4220480569088312E-002   2.7888580371778722E-002
  -16.390977443609025        4.0645707944925082E-003   1.4929999461941909E-002   2.9045512084346019E-002
  -16.290726817042607        4.2806347207226085E-003   1.5649284290587855E-002   3.0193231022156999E-002
  -16.190476190476190        4.5017547636739073E-003   1.6377628743422440E-002   3.1329201653310303E-002
  -16.090225563909776        4.7278766370495847E-003   1.7114317612619407E-002   3.2450914400173766E-002
  -15.989974937343359        4.9589448265736488E-003   1.7858627496438410E-002   3.3555891183524235E-002
  -15.889724310776943        5.1949026036197709E-003   1.8609827509579333E-002   3.4641690897100452E-002
  -15.789473684210527        5.4356920391384232E-003   1.9367180000885258E-002   3.5705914800477953E-002
  -15.689223057644110        5.6812540178789337E-003   2.0129941277688218E-002   3.6746211818347314E-002
  -15.588972431077694        5.9315282529029270E-003   2.0897362336090176E-002   3.7760283734490710E-002
  -15.488721804511279        6.1864533003846344E-003   2.1668689596456125E-002   3.8745890268984957E-002
  -15.388471177944862        6.4459665746959905E-003   2.2443165643401711E-002   3.9700854027410755E-002
  -15.288220551378446        6.7100043637715670E-003   2.3220029969549753E-002   4.0623065311133882E-002
  -15.187969924812030        6.9785018447506390E-003   2.3998519722319214E-002   4.1510486778039986E-002
  -15.087719298245615        7.2513930998914381E-003   2.4777870453018214E-002   4.2361157943408681E-002
  -14.987468671679199        7.5286111327539278E-003   2.5557316867506348E-002   4.3173199511005657E-002
  -14.887218045112782        7.8100878846485318E-003   2.6336093577685783E-002   4.3944817524810033E-002
  -14.786967418546366        8.0957542513446692E-003   2.7113435853083741E-002   4.4674307332205891E-002
  -14.686716791979951        8.3855401000357856E-003   2.7888580371789030E-002   4.5360057349887913E-002
  -14.586466165413533        8.6793742865580552E-003   2.8660765970009446E-002   4.6000552624161105E-002
  -14.486215538847118        8.9771846728563167E-003   2.9429234389505288E-002   4.6594378177763220E-002
  -14.385964912280702        9.2788981446949356E-003   3.0193231022170117E-002   4.7140222135821468E-002
  -14.285714285714286        9.5844406296067379E-003   3.0952005651030939E-002   4.7636878624037184E-002
  -14.185463659147871        9.8937371150790935E-003   3.1704813186932496E-002   4.8083250432694319E-002
  -14.085213032581454        1.0206711666969934E-002   3.2450914400189025E-002   4.8478351440606277E-002
  -13.984962406015038        1.0523287448149623E-002   3.3189576646479535E-002   4.8821308793647669E-002
  -13.884711779448622        1.0843386737365207E-002   3.3920074586279589E-002   4.9111364833056420E-002
  -13.784461152882205        1.1166930948321550E-002   3.4641690897116544E-002   4.9347878769248309E-002
  -13.684210526315789        1.1493840648974058E-002   3.5353716977954960E-002   4.9530328097443121E-002
  -13.583959899749374        1.1824035581030843E-002   3.6055453645019366E-002   4.9658309751982127E-002
  -13.483709273182958        1.2157434679655504E-002   3.6746211818362920E-002   4.9731540996770761E-002
  -13.383458646616543        1.2493956093370033E-002   3.7425313198522381E-002   4.9749860049903720E-002
  -13.283208020050125        1.2833517204148865E-002   3.8092090932581792E-002   4.9713226441069340E-002
  -13.182957393483710        1.3176034647702799E-002   3.8745890268999425E-002   4.9621721100955446E-002
  -13.082706766917294        1.3521424333944897E-002   3.9386069200548240E-002   4.9475546182458890E-002
  -12.982456140350877        1.3869601467636139E-002   4.0011999094745947E-002   4.9275024614093992E-002
  -12.882205513784461        1.4220480569201804E-002   4.0623065311146032E-002   4.9020599386574604E-002
  -12.781954887218046        1.4573975495717938E-002   4.1218667804895671E-002   4.8712832574168211E-002
  -12.681704260651630        1.4929999462059876E-002   4.1798221715956062E-002   4.8352404092963576E-002
  -12.581453634085214        1.5288465062209057E-002   4.2361157943414884E-002   4.7940110198806091E-002
  -12.481203007518797        1.5649284290710358E-002   4.2906923704321955E-002   4.7476861728213714E-002
  -12.380952380952381        1.6012368564279348E-002   4.3434983076501753E-002   4.6963682086165338E-002
  -12.280701754385966        1.6377628743549182E-002   4.3944817524810428E-002   4.6401704985202546E-002
  -12.180451127819548        1.6744975154955207E-002   4.4435926410318245E-002   4.5792171940839677E-002
  -12.080200501253133        1.7114317612750451E-002   4.4907827481919065E-002   4.5136429528817662E-002
  -11.979949874686717        1.7485565441146163E-002   4.5360057349881633E-002   4.4435926410259390E-002
  -11.879699248120302        1.7858627496573843E-002   4.5792171940884439E-002   4.3692210131297600E-002
  -11.779448621553886        1.8233412190061568E-002   4.6203746934077104E-002   4.2906923704248583E-002
  -11.679197994987469        1.8609827509719290E-002   4.6594378177750036E-002   4.2081801977882943E-002
  -11.578947368421053        1.8987781043328315E-002   4.6963682086194856E-002   4.1218667804809525E-002
  -11.478696741854638        1.9367180001029535E-002   4.7311296016372545E-002   4.0319428014443243E-002
  -11.378446115288220        1.9747931238103263E-002   4.7636878624017109E-002   3.9386069200452803E-002
  -11.278195488721805        2.0129941277836946E-002   4.7940110198819962E-002   3.8420653331993460E-002
  -11.177944862155389        2.0513116334475077E-002   4.8220692978376757E-002   3.7425313198419484E-002
  -11.077694235588973        2.0897362336243324E-002   4.8478351440579007E-002   3.6402247697543522E-002
  -10.977443609022558        2.1282584948442849E-002   4.8712832574165255E-002   3.5353716977847179E-002
  -10.877192982456140        2.1668689596612434E-002   4.8923906127169348E-002   3.4282037445378839E-002
  -10.776942355889725        2.2055581489745762E-002   4.9111364833021212E-002   3.3189576646366931E-002
  -10.676691729323309        2.2443165643561996E-002   4.9275024614073216E-002   3.2078748036855599E-002
  -10.576441102756892        2.2831346903826877E-002   4.9414724762358170E-002   3.0952005650915052E-002
  -10.476190476190476        2.3220029969713271E-002   4.9530328097399302E-002   2.9811838679208842E-002
  -10.375939849624061        2.3609119417197025E-002   4.9621721100916581E-002   2.8660765969892105E-002
  -10.275689223057645        2.3998519722485276E-002   4.9688814028295648E-002   2.7501330463993296E-002
  -10.175438596491230        2.4388135285467617E-002   4.9731540996716457E-002   2.6336093577566489E-002
  -10.075187969924812        2.4777870453186655E-002   4.9749860049846266E-002   2.5167629543030541E-002
  -9.9749373433583965        2.5167629543320729E-002   4.9743753199038988E-002   2.3998519722196601E-002
  -9.8746867167919810        2.5557316867675938E-002   4.9713226441001353E-002   2.2831346903541400E-002
  -9.7744360902255636        2.5946836755677306E-002   4.9658309751902600E-002   2.1668689596331149E-002
  -9.6741854636591480        2.6336093577856250E-002   4.9579057057937366E-002   2.0513116334198965E-002
  -9.5739348370927324        2.6724991769327869E-002   4.9475546182377199E-002   1.9367180000759560E-002
  -9.4736842105263168        2.7113435853253810E-002   4.9347878769145773E-002   1.8233412189798272E-002
  -9.3734335839599012        2.7501330464281916E-002   4.9196180183010578E-002   1.7114317612494268E-002
  -9.2731829573934839        2.7888580371959102E-002   4.9020599386479208E-002   1.6012368564030242E-002
  -9.1729323308270683        2.8275090504109836E-002   4.8821308793522700E-002   1.4929999461818137E-002
  -9.0726817042606527        2.8660765970178755E-002   4.8598504100273540E-002   1.3869601467402678E-002
  -8.9724310776942353        2.9045512084525962E-002   4.8352404092855843E-002   1.2833517203924425E-002
  -8.8721804511278197        2.9429234389673146E-002   4.8083250432547839E-002   1.1824035580816508E-002
  -8.7719298245614041        2.9811838679492497E-002   4.7791307418478542E-002   1.0843386737161348E-002
  -8.6716791979949885        3.0193231022336748E-002   4.7476861728094913E-002   9.8937371148858522E-003
  -8.5714285714285730        3.0573317784097300E-002   4.7140222135655496E-002   8.9771846726743112E-003
  -8.4711779448621556        3.0952005651195526E-002   4.6781719209025983E-002   8.0957542511737157E-003
  -8.3709273182957400        3.1329201653488695E-002   4.6401704985073310E-002   7.2513930997310039E-003
  -8.2706766917293244        3.1704813187095400E-002   4.6000552623977078E-002   6.4459665745463307E-003
  -8.1704260651629070        3.2078748037132218E-002   4.5578656042800293E-002   5.6812540177401593E-003
  -8.0701754385964914        3.2450914400350084E-002   4.5136429528678051E-002   4.9589448264454779E-003
  -7.9699248120300759        3.2821220907674913E-002   4.4674307332003123E-002   4.2806347206048511E-003
  -7.8696741854636603        3.3189576646638359E-002   4.4192743240004273E-002   3.6478222177175708E-003
  -7.7694235588972447        3.3555891183697673E-002   4.3692210131147505E-002   3.0619053223261894E-003
  -7.6691729323308273        3.3920074586436519E-002   4.3173199510785687E-002   2.5241784375556863E-003
  -7.5689223057644117        3.4282037445645133E-002   4.2636221028515928E-002   2.0358295055283781E-003
  -7.4686716791979961        3.4641690897271295E-002   4.2081801977725160E-002   1.5979373829707987E-003
  -7.3684210526315788        3.4998946644235404E-002   4.1510486777804903E-002   1.2114694578116475E-003
  -7.2681704260651632        3.5353716978109156E-002   4.0922836439552739E-002   8.7727951203615286E-004
  -7.1679197994987476        3.5705914800647186E-002   4.0319428014279131E-002   5.9610583551716499E-004
  -7.0676691729323320        3.6055453645172340E-002   3.9700854027164077E-002   3.6856959499085526E-004
  -6.9674185463659164        3.6402247697801961E-002   3.9067721895419245E-002   1.9517346177997310E-004
  -6.8671679197994990        3.6746211818515999E-002   3.8420653331825899E-002   7.6300501296159136E-005
  -6.7669172932330834        3.7087261562059604E-002   3.7760283734236934E-002   1.2213326774712475E-005
  -6.6666666666666679        3.7425313198675619E-002   3.7087261561635824E-002   3.0535191115811210E-006
  -6.5664160401002505        3.7760283734660165E-002   3.6402247697376787E-002   4.8841314083786779E-005
  -6.4661654135338349        3.8092090932736494E-002   3.5705914800220770E-002   1.4947555764477494E-004
  -6.3659147869674193        3.8420653332248603E-002   3.4998946643807288E-002   3.0473392939320748E-004
  -6.2656641604010037        3.8745890269156376E-002   3.4282037445215539E-002   5.1427343372137402E-004
  -6.1654135338345881        3.9067721895840610E-002   3.3555891183266136E-002   7.7763115755847319E-004
  -6.0651629072681708        3.9386069200707467E-002   3.2821220907241981E-002   1.0942252930348229E-003
  -5.9649122807017552        3.9700854027583922E-002   3.2078748036697580E-002   1.4633564228071062E-003
  -5.8646616541353396        4.0011999094907109E-002   3.1329201653052807E-002   1.8842090652060669E-003
  -5.7644110275689222        4.0319428014696825E-002   3.0573317783661392E-002   2.3558534757920245E-003
  -5.6641604010025066        4.0623065311309763E-002   2.9811838679056707E-002   2.8772477013395488E-003
  -5.5639097744360910        4.0922836439968129E-002   2.9045512084090574E-002   3.4472398817123892E-003
  -5.4636591478696754        4.1218667805062552E-002   2.8275090503674990E-002   4.0645707945441804E-003
  -5.3634085213032598        4.1510486778217982E-002   2.7501330463848665E-002   4.7278766371024739E-003
  -5.2631578947368425        4.1798221716126578E-002   2.6724991768896623E-002   5.4356920391916775E-003
  -5.1629072681704269        4.2081801978135769E-002   2.5946836755249444E-002   6.1864533004379147E-003
  -5.0626566416040113        4.2361157943589724E-002   2.5167629542896110E-002   6.9785018448033963E-003
  -4.9624060150375939        4.2636221028924698E-002   2.4388135285048011E-002   7.8100878847001676E-003
  -4.8621553884711783        4.2906923704501894E-002   2.3609119416783425E-002   8.6793742866077654E-003
  -4.7619047619047628        4.3173199511191675E-002   2.2831346903419904E-002   9.5844406296537107E-003
  -4.6616541353383472        4.3434983076686397E-002   2.2055581489345458E-002   1.0523287448193598E-002
  -4.5614035087719316        4.3692210131550287E-002   2.1282584948050205E-002   1.1493840649014628E-002
  -4.4611528822055142        4.3944817524999583E-002   2.0513116334090805E-002   1.2493956093407019E-002
  -4.3609022556390986        4.4192743240403350E-002   1.9747931237727161E-002   1.3521424333978085E-002
  -4.2606516290726830        4.4435926410510924E-002   1.8987781042960755E-002   1.4573975495747109E-002
  -4.1604010025062657        4.4674307332396287E-002   1.8233412189702401E-002   1.5649284290736337E-002
  -4.0601503759398501        4.4907827482113305E-002   1.7485565440795593E-002   1.6744975154977870E-002
  -3.9598997493734345        4.5136429529065325E-002   1.6744975154612918E-002   1.7858627496592137E-002
  -3.8596491228070171        4.5360057350076873E-002   1.6012368563944883E-002   1.8987781043341739E-002
  -3.7593984962406033        4.5578656043178130E-002   1.5288465061882589E-002   2.0129941277845745E-002
  -3.6591478696741859        4.5792171941078562E-002   1.4573975495399592E-002   2.1282584948446818E-002
  -3.5588972431077721        4.6000552624345069E-002   1.3869601467326440E-002   2.2443165643561129E-002
  -3.4586466165413547        4.6203746934269666E-002   1.3176034647401878E-002   2.3609119417192282E-002
  -3.3583959899749374        4.6401704985430017E-002   1.2493956093078042E-002   2.4777870453178991E-002
  -3.2581453634085236        4.6594378177937885E-002   1.1824035580747624E-002   2.5946836755667942E-002
  -3.1578947368421062        4.6781719209369001E-002   1.1166930948047566E-002   2.7113435853242898E-002
  -3.0576441102756888        4.6963682086377294E-002   1.0523287447885044E-002   2.8275090504097655E-002
  -2.9573934837092750        4.7140222135983526E-002   9.8937371148238463E-003   2.9429234389659872E-002
  -2.8571428571428577        4.7311296016548009E-002   9.2788981444490923E-003   3.0573317784082701E-002
  -2.7568922305764403        4.7476861728406997E-002   8.6793742863222490E-003   3.1704813187079454E-002
  -2.6566416040100265        4.7636878624185322E-002   8.0957542511188862E-003   3.2821220907656865E-002
  -2.5563909774436091        4.7791307418774541E-002   7.5286111325377891E-003   3.3920074586415910E-002
  -2.4561403508771953        4.7940110198979542E-002   6.9785018445438496E-003   3.4998946644212277E-002
  -2.3558897243107779        4.8083250432825256E-002   6.4459665744983820E-003   3.6055453645145195E-002
  -2.2556390977443606        4.8220692978526616E-002   5.9315282527146653E-003   3.7087261562025978E-002
  -2.1553884711779467        4.8352404093113546E-002   5.4356920389594283E-003   3.8092090932694743E-002
  -2.0551378446115294        4.8478351440718145E-002   4.9589448264038827E-003   3.9067721895789866E-002
  -1.9548872180451156        4.8598504100510351E-002   4.5017547635130281E-003   4.0011999094847268E-002
  -1.8546365914786982        4.8712832574292542E-002   4.0645707943406245E-003   4.0922836439899066E-002
  -1.7543859649122808        4.8821308793738867E-002   3.6478222176821343E-003   4.1798221716046385E-002
  -1.6541353383458670        4.8923906127286365E-002   3.2519182655187007E-003   4.2636221028832286E-002
  -1.5538847117794496        4.9020599386674871E-002   2.8772477011668753E-003   4.3434983076582091E-002
  -1.4536340852130323        4.9111364833128765E-002   2.5241784375266401E-003   4.4192743240286943E-002
  -1.3533834586466185        4.9196180183186625E-002   2.1930571758044860E-003   4.4907827481987968E-002
  -1.2531328320802011        4.9275024614171513E-002   1.8842090650654764E-003   4.5578656043045673E-002
  -1.1528822055137837        4.9347878769303626E-002   1.5979373829483156E-003   4.6203746934133351E-002
  -1.0526315789473699        4.9414724762449284E-002   1.3345232378579152E-003   4.6781719209233338E-002
 -0.95238095238095255        4.9475546182516553E-002   1.0942252929273797E-003   4.7311296016415358E-002
 -0.85213032581453874        4.9530328097482493E-002   8.7727951201990468E-004   4.7791307418646949E-002
 -0.75187969924812137        4.9579057058059310E-002   6.8389892802098607E-004   4.8220692978408232E-002
 -0.65162907268170400        4.9621721100994103E-002   5.1427343364755763E-004   4.8598504100403415E-002
 -0.55137844611529019        4.9658309752006795E-002   3.6856959498061525E-004   4.8923906127191330E-002
 -0.45112781954887282        4.9688814028365995E-002   2.4693048790315009E-004   4.9196180183101623E-002
 -0.35087719298245901        4.9713226441088262E-002   1.4947555760493858E-004   4.9414724762372325E-002
 -0.25062656641604164        4.9731540996779962E-002   7.6300501291567011E-005   4.9579057057989449E-002
 -0.15037593984962427        4.9743753199107510E-002   2.7477174213289148E-005   4.9688814028302331E-002
  -5.0125313283210460E-002   4.9749860049901826E-002   3.0535191058751538E-006   4.9743753199052283E-002
   5.0125313283206907E-002   4.9749860049894470E-002   3.0535191125050124E-006   4.9743753199042465E-002
